SECTION,Timestamp,Name,First preference,Second preference,Third preference,Fourth preference,,,,,,,,,
101,1/17/2023 23:03:20,,"101 - Wed 11am-12pm, 540 Cory","103 - Thu 10-11am, 540 Cory",I have a schedule conflict which prevents me from attending other section times except for the one(s) listed as higher preferences,I have a schedule conflict which prevents me from attending other section times except for the one(s) listed as higher preferences,,,,,,,,,
101,1/17/2023 14:27:59,,"101 - Wed 11am-12pm, 540 Cory","103 - Thu 10-11am, 540 Cory",I have a schedule conflict which prevents me from attending other section times except for the one(s) listed as higher preferences,"102 - Fri 1-2pm, 310 Soda",,,,,,,,,
101,1/17/2023 17:43:25,,"101 - Wed 11am-12pm, 540 Cory","102 - Fri 1-2pm, 310 Soda",I have a schedule conflict which prevents me from attending other section times except for the one(s) listed as higher preferences,I have a schedule conflict which prevents me from attending other section times except for the one(s) listed as higher preferences,,,,,,,,,
101,1/18/2023 8:10:35,,"101 - Wed 11am-12pm, 540 Cory","104 - Wed 2-3pm, 320 Soda","103 - Thu 10-11am, 540 Cory","102 - Fri 1-2pm, 310 Soda",,,,,,,,,
101,1/17/2023 22:15:03,,"101 - Wed 11am-12pm, 540 Cory","103 - Thu 10-11am, 540 Cory","104 - Wed 2-3pm, 320 Soda","102 - Fri 1-2pm, 310 Soda",,,,,,,,,
101,1/19/2023 0:28:12,,"101 - Wed 11am-12pm, 540 Cory","103 - Thu 10-11am, 540 Cory",I have a schedule conflict which prevents me from attending other section times except for the one(s) listed as higher preferences,I have a schedule conflict which prevents me from attending other section times except for the one(s) listed as higher preferences,,,,,,,,,
101,1/17/2023 16:08:23,,"101 - Wed 11am-12pm, 540 Cory","103 - Thu 10-11am, 540 Cory","102 - Fri 1-2pm, 310 Soda",I have a schedule conflict which prevents me from attending other section times except for the one(s) listed as higher preferences,,,,,,,,,
101,1/17/2023 23:04:19,,"101 - Wed 11am-12pm, 540 Cory","103 - Thu 10-11am, 540 Cory",I have a schedule conflict which prevents me from attending other section times except for the one(s) listed as higher preferences,I have a schedule conflict which prevents me from attending other section times except for the one(s) listed as higher preferences,,,,,,,,,
101,1/18/2023 15:16:14,,"101 - Wed 11am-12pm, 540 Cory","103 - Thu 10-11am, 540 Cory",I have a schedule conflict which prevents me from attending other section times except for the one(s) listed as higher preferences,I have a schedule conflict which prevents me from attending other section times except for the one(s) listed as higher preferences,,,,,,,,,
101,1/19/2023 19:02:59,,"101 - Wed 11am-12pm, 540 Cory","103 - Thu 10-11am, 540 Cory","102 - Fri 1-2pm, 310 Soda",I have a schedule conflict which prevents me from attending other section times except for the one(s) listed as higher preferences,,,,,,,,,
101,1/18/2023 9:15:43,,"101 - Wed 11am-12pm, 540 Cory","104 - Wed 2-3pm, 320 Soda","102 - Fri 1-2pm, 310 Soda",I have a schedule conflict which prevents me from attending other section times except for the one(s) listed as higher preferences,,,,,,,,,
101,1/17/2023 12:49:49,,"101 - Wed 11am-12pm, 540 Cory","104 - Wed 2-3pm, 320 Soda","102 - Fri 1-2pm, 310 Soda",I have a schedule conflict which prevents me from attending other section times except for the one(s) listed as higher preferences,,,,,,,,,
101,1/17/2023 14:46:18,,"101 - Wed 11am-12pm, 540 Cory","104 - Wed 2-3pm, 320 Soda",I have a schedule conflict which prevents me from attending other section times except for the one(s) listed as higher preferences,I have a schedule conflict which prevents me from attending other section times except for the one(s) listed as higher preferences,,,,,,,,,
101,1/20/2023 8:04:51,,"101 - Wed 11am-12pm, 540 Cory","104 - Wed 2-3pm, 320 Soda","102 - Fri 1-2pm, 310 Soda",I have a schedule conflict which prevents me from attending other section times except for the one(s) listed as higher preferences,,,,,,,,,
